,0
0,﻿
1,我
2,是
3,一个
4,90
5,后
6,，
7,我
8,曾经
9,很
10,羡慕
11,“
12,上
13,一代人
14,”
15,：
16,40
17,年前
18,的
19,观众
20,，
21,他们
22,的
23,影院
24,里
25,有
26,星战
27,正传
28,三部曲
29,的
30,落幕
31,；
32,20
33,年前
34,的
35,观众
36,，
37,能
38,在
39,影院
40,里
41,看到
42,指环王
43,系列
44,的
45,终章
46,。
47,影迷
48,们
49,的
50,悲欢
51,并
52,不
53,相通
54,，
55,但
56,现在
57,我们
58,也
59,有
60,了
61,共同
62,的
63,记忆
64,：
65,漫威
66,电影
67,宇宙
68,。
69,谢谢
70,你
71,，
72,《
73,复仇者
74,联盟
75,》
76,。
77,对
78,某人
79,而言
80,这
81,就
82,叫
83,有始有终
84,吧
85,，
86,这个
87,时代
88,的
89,星战
90,（
91,90
92,后
93,终于
94,有长
95,达
96,十年
97,的
98,情怀
99,和
100,回忆
101,了
102,）
103,不
104,打
105,感情
106,分
107,也
108,就
109,合格
110,水准
111,，
112,通篇
113,流水账
114,观感
115,还
116,不如
117,第三部
118,，
119,虽然
120,我
121,一直
122,认为
123,这类
124,片
125,无所谓
126,剧透
127,，
128,不过
129,为了
130,尊重
131,大家
132,不多
133,说
134,了
135,，
136,自己
137,看
138,便是
139,。
140,最后
141,说
142,一下
143,，
144,钢铁
145,侠
146,作为
147,头号
148,一哥
149,很
150,好
151,地
152,完成
153,了
154,支撑
155,复联
156,的
157,任务
158,，
159,而
160,这个
161,女拳
162,队长
163,无论
164,角色
165,和
166,定位
167,都
168,是
169,彻头彻尾
170,的
171,笑话
172,，
173,新
174,10
175,年
176,靠
177,这种
178,角色
179,基本
180,完蛋
181,。
182,三个
183,小时
184,剧情
185,太
186,拖沓
187,，
188,成
189,了
190,七龙珠
191,寻宝
192,了
193,，
194,堆砌
195,拼凑
196,的
197,剧情
198,，
199,真是
200,不
201,知道
202,浪费
203,睡觉时间
204,来看
205,首映
206,。
207,用
208,三个
209,小时
210,的
211,时间
212,，
213,与
214,大家
215,告别
216,。
217,是
218,集结
219,，
220,是
221,重聚
222,，
223,是
224,告别
225,，
226,是
227,牺牲
228,。
229,作为
230,系列
231,的
232,最终
233,篇
234,，
235,确实
236,已经
237,努力做到
238,最好
239,了
240,，
241,有
242,笑
243,点
244,、
245,有泪点
246,、
